Gender,Age,Height,Weight,family_history_with_overweight,FAVC,FCVC,NCP,CAEC,SMOKE,CH2O,SCC,FAF,TUE,CALC,MTRANS,NObeyesdad,weight_cat,y,yhat,a
Female,20.0,1.66,60.0,yes,no,3.0,3.0,Sometimes,no,2.0,no,1.0,0.0,Sometimes,Walking,Normal_Weight,Normal_Weight,Normal_Weight,Overweight_Level_II,Female
Female,21.0,1.55,50.0,no,yes,2.0,3.0,Sometimes,no,2.0,no,0.0,0.0,Sometimes,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Female
Female,21.0,1.61,54.5,yes,yes,3.0,3.0,Sometimes,no,3.0,no,0.0,1.0,Sometimes,Walking,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Female
Female,20.0,1.5,44.0,no,yes,2.0,3.0,Sometimes,no,1.0,no,0.0,0.0,Sometimes,Automobile,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Female
Female,23.0,1.64,52.0,no,yes,3.0,1.0,Sometimes,no,2.0,no,2.0,2.0,no,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Female
Female,23.0,1.63,55.0,yes,no,3.0,3.0,no,no,2.0,yes,2.0,1.0,no,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Insufficient_Weight,Female
Female,22.0,1.6,55.0,no,no,3.0,4.0,Always,no,3.0,no,2.0,0.0,no,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Female
Male,23.0,1.68,62.0,no,no,2.0,4.0,Frequently,no,2.0,no,0.0,0.0,Sometimes,Automobile,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Male
Male,22.0,1.7,70.0,yes,yes,2.0,3.0,Sometimes,no,1.0,no,0.0,1.0,Sometimes,Automobile,Normal_Weight,Normal_Weight,Normal_Weight,Overweight_Level_I,Male
Male,21.0,1.64,65.0,yes,no,2.0,3.0,Sometimes,no,1.0,no,0.0,1.0,no,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Overweight_Level_II,Male
Female,17.0,1.65,67.0,yes,yes,3.0,1.0,Sometimes,no,2.0,no,1.0,1.0,no,Walking,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Female
Male,20.0,1.76,55.0,yes,yes,2.0,4.0,Sometimes,no,3.0,no,2.0,2.0,no,Public_Transportation,Insufficient_Weight,Insufficient_Weight,Insufficient_Weight,Insufficient_Weight,Male
Female,21.0,1.55,49.0,yes,yes,2.0,3.0,Sometimes,no,3.0,no,3.0,1.0,Sometimes,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Overweight_Level_I,Female
Male,20.0,1.65,58.0,no,yes,2.0,3.0,Sometimes,no,2.0,no,3.0,1.0,Sometimes,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Male
Male,22.0,1.67,62.0,no,yes,2.0,1.0,no,no,2.0,no,0.0,0.0,Sometimes,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Overweight_Level_I,Male
Male,22.0,1.68,55.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,0.0,2.0,Sometimes,Automobile,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Male
Female,21.0,1.66,57.0,yes,yes,2.0,3.0,Frequently,no,1.0,no,1.0,1.0,no,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Insufficient_Weight,Female
Female,21.0,1.62,69.0,yes,yes,1.0,3.0,Frequently,no,2.0,no,0.0,1.0,no,Public_Transportation,Overweight_Level_I,Overweight_Level_I,Overweight_Level_I,Insufficient_Weight,Female
Male,23.0,1.8,90.0,yes,yes,1.0,3.0,Always,no,2.0,no,0.0,2.0,Frequently,Public_Transportation,Overweight_Level_II,Overweight_Level_II,Overweight_Level_II,Obesity_Type_I,Male
Male,23.0,1.65,95.0,yes,yes,2.0,3.0,Always,no,2.0,no,0.0,1.0,Frequently,Automobile,Obesity_Type_I,Obesity_Type_I,Obesity_Type_I,Overweight_Level_I,Male
Male,23.0,1.8,60.0,yes,no,2.0,3.0,no,no,3.0,no,0.0,1.0,Sometimes,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Male
Female,23.0,1.65,80.0,yes,yes,2.0,3.0,Always,no,2.0,no,0.0,2.0,no,Public_Transportation,Overweight_Level_II,Overweight_Level_II,Overweight_Level_II,Normal_Weight,Female
Female,22.0,1.67,50.0,yes,no,3.0,3.0,no,no,3.0,yes,2.0,1.0,Sometimes,Public_Transportation,Insufficient_Weight,Insufficient_Weight,Insufficient_Weight,Normal_Weight,Female
Female,24.0,1.65,60.0,yes,no,2.0,3.0,Sometimes,no,3.0,yes,1.0,0.0,no,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Insufficient_Weight,Female
Male,19.0,1.85,65.0,yes,no,2.0,3.0,Sometimes,no,3.0,no,2.0,1.0,Sometimes,Bike,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Male
Male,24.0,1.7,85.0,yes,yes,2.0,3.0,Frequently,no,3.0,no,0.0,1.0,Frequently,Public_Transportation,Overweight_Level_II,Overweight_Level_II,Overweight_Level_II,Overweight_Level_II,Male
Female,23.0,1.63,45.0,yes,no,3.0,3.0,Sometimes,no,3.0,yes,2.0,0.0,no,Public_Transportation,Insufficient_Weight,Insufficient_Weight,Insufficient_Weight,Normal_Weight,Female
Female,24.0,1.6,45.0,yes,no,2.0,3.0,no,no,2.0,no,1.0,0.0,no,Public_Transportation,Insufficient_Weight,Insufficient_Weight,Insufficient_Weight,Normal_Weight,Female
Female,24.0,1.7,80.0,yes,yes,2.0,3.0,Sometimes,no,3.0,no,0.0,0.0,no,Public_Transportation,Overweight_Level_II,Overweight_Level_II,Overweight_Level_II,Obesity_Type_I,Female
Female,23.0,1.65,90.0,yes,yes,2.0,3.0,Sometimes,no,3.0,no,0.0,1.0,no,Public_Transportation,Obesity_Type_I,Obesity_Type_I,Obesity_Type_I,Obesity_Type_I,Female
Male,23.0,1.65,60.0,yes,no,2.0,3.0,Sometimes,no,2.0,no,0.0,0.0,Sometimes,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Male
Female,19.0,1.63,58.0,no,no,3.0,3.0,Sometimes,no,2.0,yes,0.0,0.0,no,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Insufficient_Weight,Female
Male,30.0,1.8,91.0,yes,yes,2.0,3.0,Frequently,no,2.0,no,0.0,0.0,Sometimes,Public_Transportation,Overweight_Level_II,Overweight_Level_II,Overweight_Level_II,Normal_Weight,Male
Male,23.0,1.67,85.5,yes,yes,2.0,3.0,Always,no,2.0,no,0.0,1.0,no,Public_Transportation,Obesity_Type_I,Obesity_Type_I,Obesity_Type_I,Insufficient_Weight,Male
Female,19.0,1.6,45.0,no,no,3.0,3.0,no,no,3.0,yes,2.0,0.0,no,Walking,Insufficient_Weight,Insufficient_Weight,Insufficient_Weight,Normal_Weight,Female
Male,25.0,1.7,83.0,yes,yes,2.0,3.0,Frequently,no,2.0,no,0.0,1.0,Sometimes,Public_Transportation,Overweight_Level_II,Overweight_Level_II,Overweight_Level_II,Normal_Weight,Male
Male,23.0,1.65,58.5,yes,no,2.0,3.0,Sometimes,no,2.0,no,0.0,0.0,no,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Male
Male,21.0,1.85,83.0,yes,yes,2.0,1.0,Frequently,no,3.0,no,1.0,0.0,no,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Insufficient_Weight,Male
Male,19.0,1.82,87.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,0.0,0.0,no,Public_Transportation,Overweight_Level_I,Overweight_Level_I,Overweight_Level_I,Obesity_Type_I,Male
Female,22.0,1.65,65.0,yes,yes,2.0,3.0,Frequently,no,2.0,yes,1.0,0.0,no,Automobile,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Female
Female,29.0,1.7,78.0,yes,yes,3.0,3.0,Sometimes,no,1.0,no,2.0,1.0,Frequently,Automobile,Overweight_Level_II,Overweight_Level_II,Overweight_Level_II,Overweight_Level_II,Female
Female,20.0,1.61,64.0,yes,no,3.0,3.0,Always,no,2.0,yes,0.0,1.0,Frequently,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Female
Male,55.0,1.78,84.0,yes,no,3.0,4.0,Frequently,no,3.0,yes,3.0,0.0,Frequently,Walking,Overweight_Level_I,Overweight_Level_I,Overweight_Level_I,Normal_Weight,Male
Female,20.0,1.6,57.0,no,no,3.0,3.0,Always,no,2.0,no,1.0,0.0,no,Walking,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Female
Female,24.0,1.6,48.0,no,yes,3.0,3.0,Sometimes,no,2.0,no,2.0,0.0,no,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Female
Male,26.0,1.7,70.0,yes,no,3.0,1.0,Frequently,no,2.0,no,2.0,0.0,Frequently,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Male
Female,23.0,1.66,60.0,yes,no,2.0,3.0,Sometimes,no,2.0,no,3.0,0.0,Sometimes,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Female
Female,21.0,1.52,42.0,no,no,3.0,1.0,Frequently,no,1.0,no,0.0,0.0,Sometimes,Public_Transportation,Insufficient_Weight,Insufficient_Weight,Insufficient_Weight,Insufficient_Weight,Female
Female,21.0,1.52,42.0,no,no,3.0,1.0,Frequently,no,1.0,no,0.0,0.0,Sometimes,Public_Transportation,Insufficient_Weight,Insufficient_Weight,Insufficient_Weight,Insufficient_Weight,Female
Male,23.0,1.72,70.0,no,no,2.0,3.0,Sometimes,no,2.0,no,3.0,1.0,Frequently,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Male
Female,21.0,1.69,63.0,no,yes,3.0,1.0,Sometimes,no,1.0,no,0.0,0.0,Sometimes,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Female
Male,22.0,1.7,66.4,yes,no,2.0,3.0,Frequently,no,2.0,no,0.0,0.0,no,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Male
Female,21.0,1.55,57.0,no,yes,2.0,4.0,Frequently,no,2.0,yes,2.0,0.0,Sometimes,Automobile,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Female
Female,22.0,1.65,58.0,yes,yes,3.0,4.0,Frequently,no,2.0,no,1.0,0.0,Sometimes,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Female
Female,38.0,1.56,80.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,0.0,0.0,Sometimes,Automobile,Obesity_Type_I,Obesity_Type_I,Obesity_Type_I,Obesity_Type_I,Female
Female,25.0,1.57,55.0,no,yes,2.0,1.0,Sometimes,no,2.0,no,2.0,0.0,Sometimes,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Female
Female,25.0,1.57,55.0,no,yes,2.0,1.0,Sometimes,no,2.0,no,2.0,0.0,Sometimes,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Female
Male,22.0,1.88,90.0,yes,yes,2.0,3.0,Always,no,1.0,no,0.0,1.0,Sometimes,Automobile,Overweight_Level_I,Overweight_Level_I,Overweight_Level_I,Normal_Weight,Male
Male,22.0,1.75,95.0,yes,no,2.0,3.0,Sometimes,no,3.0,no,3.0,2.0,no,Walking,Obesity_Type_I,Obesity_Type_I,Obesity_Type_I,Overweight_Level_II,Male
Female,21.0,1.65,88.0,yes,yes,3.0,1.0,Sometimes,no,3.0,no,2.0,1.0,no,Public_Transportation,Obesity_Type_I,Obesity_Type_I,Obesity_Type_I,Obesity_Type_I,Female
Male,21.0,1.75,75.0,yes,yes,3.0,3.0,Sometimes,no,2.0,no,0.0,1.0,Sometimes,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Male
Female,22.0,1.58,58.0,yes,yes,2.0,1.0,Sometimes,no,1.0,no,0.0,0.0,no,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Obesity_Type_I,Female
Female,18.0,1.56,51.0,yes,yes,2.0,4.0,Frequently,no,2.0,no,1.0,0.0,Sometimes,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Female
Female,22.0,1.5,49.0,yes,no,2.0,1.0,Sometimes,no,2.0,no,3.0,0.0,no,Walking,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Female
Female,19.0,1.61,62.0,yes,yes,3.0,1.0,Frequently,no,2.0,no,1.0,0.0,Frequently,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Female
Female,17.0,1.75,57.0,yes,yes,3.0,3.0,Frequently,no,2.0,no,0.0,1.0,no,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Insufficient_Weight,Female
Female,15.0,1.65,86.0,yes,yes,3.0,3.0,Sometimes,no,1.0,no,3.0,2.0,no,Walking,Obesity_Type_I,Obesity_Type_I,Obesity_Type_I,Normal_Weight,Female
Female,17.0,1.7,85.0,yes,no,2.0,3.0,Frequently,no,2.0,no,1.0,1.0,no,Public_Transportation,Overweight_Level_II,Overweight_Level_II,Overweight_Level_II,Normal_Weight,Female
Male,23.0,1.62,53.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,1.0,1.0,Sometimes,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Obesity_Type_I,Male
Female,19.0,1.63,76.0,yes,no,3.0,3.0,Frequently,yes,3.0,no,2.0,1.0,Sometimes,Automobile,Overweight_Level_II,Overweight_Level_II,Overweight_Level_II,Normal_Weight,Female
Female,23.0,1.67,75.0,yes,yes,2.0,3.0,Frequently,yes,2.0,no,0.0,2.0,no,Walking,Overweight_Level_I,Overweight_Level_I,Overweight_Level_I,Insufficient_Weight,Female
Male,23.0,1.87,95.0,yes,yes,1.0,3.0,Frequently,no,2.0,no,0.0,2.0,Frequently,Public_Transportation,Overweight_Level_II,Overweight_Level_II,Overweight_Level_II,Overweight_Level_II,Male
Male,21.0,1.75,50.0,yes,no,3.0,4.0,Frequently,no,1.0,no,1.0,0.0,no,Walking,Insufficient_Weight,Insufficient_Weight,Insufficient_Weight,Normal_Weight,Male
Male,24.0,1.66,67.0,yes,yes,3.0,1.0,Sometimes,no,2.0,no,1.0,0.0,no,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Obesity_Type_I,Male
Male,23.0,1.76,90.0,no,yes,3.0,3.0,Sometimes,no,1.0,no,0.0,0.0,no,Public_Transportation,Overweight_Level_II,Overweight_Level_II,Overweight_Level_II,Normal_Weight,Male
Male,18.0,1.75,80.0,yes,yes,2.0,3.0,Always,no,2.0,no,0.0,0.0,Frequently,Public_Transportation,Overweight_Level_I,Overweight_Level_I,Overweight_Level_I,Normal_Weight,Male
Male,19.0,1.67,68.0,no,yes,2.0,3.0,Sometimes,no,2.0,no,1.0,0.0,Sometimes,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Male
Female,19.0,1.65,61.0,no,yes,3.0,1.0,Sometimes,no,3.0,yes,1.0,0.0,Sometimes,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Insufficient_Weight,Female
Male,20.0,1.72,70.0,yes,yes,3.0,3.0,Frequently,no,1.0,no,0.0,0.0,Sometimes,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Male
Male,27.0,1.7,78.0,no,yes,3.0,3.0,Sometimes,no,3.0,no,1.0,1.0,Frequently,Public_Transportation,Overweight_Level_II,Overweight_Level_II,Overweight_Level_II,Normal_Weight,Male
Female,20.0,1.58,53.0,yes,yes,2.0,4.0,Frequently,no,2.0,no,1.0,1.0,no,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Insufficient_Weight,Female
Male,23.0,1.62,58.0,no,no,2.0,3.0,Sometimes,no,1.0,no,1.0,0.0,no,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Male
Female,19.0,1.65,56.0,yes,yes,3.0,3.0,Frequently,yes,3.0,yes,1.0,2.0,Frequently,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Female
Female,61.0,1.65,66.0,no,yes,3.0,3.0,Always,no,2.0,no,1.0,1.0,Frequently,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Female
Male,30.0,1.77,109.0,yes,yes,3.0,3.0,Sometimes,no,1.0,no,2.0,0.0,Sometimes,Automobile,Obesity_Type_I,Obesity_Type_I,Obesity_Type_I,Obesity_Type_I,Male
Male,24.0,1.7,75.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,1.0,0.0,Sometimes,Automobile,Overweight_Level_I,Overweight_Level_I,Overweight_Level_I,Obesity_Type_I,Male
Male,25.0,1.79,72.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,1.0,1.0,Sometimes,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Overweight_Level_II,Male
Male,44.0,1.6,80.0,yes,no,2.0,3.0,Sometimes,yes,3.0,no,0.0,0.0,no,Motorbike,Obesity_Type_I,Obesity_Type_I,Obesity_Type_I,Overweight_Level_II,Male
Male,31.0,1.76,75.0,yes,no,3.0,3.0,Always,no,3.0,yes,3.0,0.0,no,Bike,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Male
Male,25.0,1.7,68.0,no,yes,2.0,3.0,Frequently,no,2.0,no,0.0,1.0,no,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Male
