animal,action,pred_action,shear,shear_pred,shear_prob
sheep,pet,feed,0,0,0.4742
sheep,pet,pet,0,0,0.0031
cat,pet,pet,0,0,0.9765
dog,feed,shear,0,1,0.0001
dog,feed,shear,0,1,0.3839
dog,pet,pet,0,0,0.4906
sheep,shear,shear,1,1,0.9771
dog,pet,pet,0,0,0.9515
cat,feed,shear,0,1,0.0263
cat,pet,shear,0,1,0.0332
dog,feed,pet,0,0,0.9121
cat,feed,pet,0,0,0.0016
cat,feed,feed,0,0,0.0004
dog,pet,pet,0,0,0.706
dog,pet,pet,0,0,0.0141
sheep,feed,feed,0,0,0.0428
cat,feed,pet,0,0,0.0015
sheep,feed,pet,0,0,0.1829
dog,feed,feed,0,0,0.8334
cat,pet,pet,0,0,0.8694
cat,shear,shear,1,1,0.6778
sheep,pet,pet,0,0,0.5269
cat,pet,pet,0,0,0.8351
dog,feed,pet,0,0,0.1885
cat,pet,shear,0,1,0.0121
dog,pet,feed,0,0,0.7654
dog,pet,pet,0,0,0.9319
dog,feed,pet,0,0,0.5363
dog,feed,pet,0,0,0.8145
cat,feed,feed,0,0,0.5137
cat,pet,pet,0,0,0.2578
sheep,shear,shear,1,1,0.9679
dog,feed,feed,0,0,0.7029
dog,pet,shear,0,1,0.0038
sheep,pet,pet,0,0,0.0047
cat,feed,feed,0,0,0.6279
dog,feed,shear,0,1,0.4552
dog,feed,feed,0,0,0.0485
cat,feed,feed,0,0,0.0682
cat,feed,feed,0,0,0.0507
cat,shear,feed,1,0,0.6954
dog,feed,pet,0,0,0.6531
cat,feed,feed,0,0,0.9868
cat,pet,feed,0,0,0.2262
cat,pet,pet,0,0,0.0601
dog,shear,pet,1,0,0.5544
cat,feed,feed,0,0,0.0123
dog,pet,pet,0,0,0.0466
dog,feed,feed,0,0,0.8807
dog,feed,pet,0,0,0.047
sheep,feed,feed,0,0,0.0446
sheep,shear,shear,1,1,0.9876
dog,feed,pet,0,0,0.6263
cat,pet,shear,0,1,0.013
cat,feed,feed,0,0,0.2359
dog,feed,feed,0,0,0.5493
dog,feed,shear,0,1,0.2914
sheep,feed,feed,0,0,0.2439
cat,feed,feed,0,0,0.0402
dog,pet,pet,0,0,0.0081
cat,feed,shear,0,1,0.2342
sheep,pet,pet,0,0,0.2832
cat,feed,feed,0,0,0.6674
dog,shear,pet,1,0,0.5128
cat,pet,pet,0,0,0
sheep,feed,pet,0,0,0.0078
cat,feed,pet,0,0,0.6785
dog,pet,shear,0,1,0.0503
cat,feed,shear,0,1,0.1098
dog,feed,feed,0,0,0.1669
sheep,feed,shear,0,1,0.0825
cat,pet,pet,0,0,0.7359
dog,pet,pet,0,0,0.187
dog,feed,shear,0,1,0.699
cat,shear,shear,1,1,0.609
cat,pet,pet,0,0,0.0265
dog,feed,shear,0,1,0.1424
cat,pet,feed,0,0,0.6599
dog,feed,feed,0,0,0.3386
dog,feed,pet,0,0,0.7727
sheep,shear,shear,1,1,0.9283
dog,shear,shear,1,1,0.8703
cat,pet,pet,0,0,0.2419
cat,feed,pet,0,0,0.126
cat,pet,feed,0,0,0.2956
dog,feed,feed,0,0,0.3624
cat,pet,pet,0,0,0.1026
cat,feed,pet,0,0,0.9397
dog,feed,feed,0,0,0.964
dog,feed,pet,0,0,0.8523
dog,feed,feed,0,0,0.5574
dog,pet,pet,0,0,0.6568
sheep,pet,pet,0,0,0.575
cat,feed,pet,0,0,0.4197
cat,feed,feed,0,0,0.3832
cat,pet,pet,0,0,0.315
cat,feed,shear,0,1,0.7091
dog,feed,pet,0,0,0.6998
dog,feed,feed,0,0,0.9685
cat,pet,feed,0,0,0.0588
cat,pet,shear,0,1,0.5727
sheep,feed,pet,0,0,0.8793
cat,pet,shear,0,1,0.3555
cat,feed,feed,0,0,0.109
cat,feed,feed,0,0,0.0004
dog,shear,feed,1,0,0.9569
dog,feed,shear,0,1,0.6968
dog,feed,feed,0,0,0.9729
sheep,feed,pet,0,0,0.039
sheep,feed,pet,0,0,0.0506
cat,feed,shear,0,1,0.3373
dog,feed,feed,0,0,0.948
sheep,pet,pet,0,0,0.0845
cat,feed,feed,0,0,0.0811
dog,pet,shear,0,1,0.4376
dog,feed,feed,0,0,0.0535
cat,feed,feed,0,0,0.998
sheep,feed,pet,0,0,0.3421
sheep,feed,feed,0,0,0.6333
dog,pet,pet,0,0,0.4235
cat,pet,pet,0,0,0.3282
dog,shear,shear,1,1,0.6762
cat,feed,pet,0,0,0.4464
cat,pet,pet,0,0,0.0101
sheep,feed,feed,0,0,0.1406
dog,shear,shear,1,1,0.7763
sheep,shear,pet,1,0,0.927
sheep,pet,pet,0,0,0.0005
sheep,feed,pet,0,0,0.1679
cat,feed,feed,0,0,0.0147
dog,shear,shear,1,1,0.9673
cat,feed,shear,0,1,0.2989
cat,pet,pet,0,0,0.7721
cat,feed,feed,0,0,0.1245
dog,feed,shear,0,1,0.7494
sheep,shear,shear,1,1,0.9896
cat,feed,feed,0,0,0.3618
cat,shear,pet,1,0,0.9642
cat,feed,feed,0,0,0.0014
dog,feed,shear,0,1,0.9985
dog,feed,pet,0,0,0.2556
sheep,feed,feed,0,0,0.0511
dog,feed,pet,0,0,0.0734
sheep,feed,pet,0,0,0.2223
dog,shear,pet,1,0,0.6948
cat,pet,pet,0,0,0.0007
dog,feed,feed,0,0,0.2883
dog,pet,pet,0,0,0.6815
dog,pet,pet,0,0,0.2479
dog,pet,pet,0,0,0.5849
dog,feed,feed,0,0,0.2118
cat,pet,pet,0,0,0.1297
dog,feed,feed,0,0,0.4821
dog,feed,feed,0,0,0.2509
cat,pet,pet,0,0,0.0578
cat,pet,pet,0,0,0.1927
cat,feed,feed,0,0,0.7404
cat,feed,feed,0,0,0.0253
sheep,feed,pet,0,0,0.6233
sheep,feed,pet,0,0,0.3992
cat,pet,feed,0,0,0.4203
sheep,feed,pet,0,0,0.0023
sheep,pet,pet,0,0,0.3425
cat,pet,pet,0,0,0.0194
cat,pet,pet,0,0,0.7929
cat,feed,feed,0,0,0.1125
cat,feed,feed,0,0,0.9697
sheep,shear,shear,1,1,0.99
dog,feed,shear,0,1,0.228
cat,feed,feed,0,0,0.4035
dog,pet,pet,0,0,0.5795
sheep,shear,pet,1,0,0.9198
sheep,feed,feed,0,0,0.0469
cat,pet,feed,0,0,0.0612
dog,feed,pet,0,0,0.0497
cat,feed,feed,0,0,0.5373
dog,pet,pet,0,0,0.0739
dog,feed,shear,0,1,0.6963
cat,pet,pet,0,0,0.3209
sheep,shear,shear,1,1,0.9042
dog,feed,feed,0,0,0.9687
sheep,feed,feed,0,0,0.0942
cat,feed,shear,0,1,0.0418
dog,feed,feed,0,0,0.5743
cat,pet,feed,0,0,0.0474
cat,feed,feed,0,0,0.3152
dog,pet,pet,0,0,0.091
dog,feed,feed,0,0,0.9395
cat,shear,shear,1,1,0.6543
cat,shear,feed,1,0,0.9966
sheep,pet,pet,0,0,0.2802
dog,pet,pet,0,0,0.3007
cat,pet,pet,0,0,0.6669
cat,pet,pet,0,0,0.1879
dog,feed,feed,0,0,0.9747
cat,pet,pet,0,0,0.2809
cat,shear,feed,1,0,0.8146
dog,feed,pet,0,0,0.1618
sheep,shear,shear,1,1,0.9132
cat,feed,feed,0,0,0.0423
sheep,feed,feed,0,0,0.4144
cat,feed,feed,0,0,0.2079
cat,pet,pet,0,0,0.7736
dog,feed,pet,0,0,0.978
dog,shear,shear,1,1,0.532
sheep,feed,feed,0,0,0.1361
dog,feed,shear,0,1,0.1693
dog,pet,pet,0,0,0.0452
cat,pet,shear,0,1,0.3541
sheep,pet,pet,0,0,0.4576
cat,pet,pet,0,0,0.0355
dog,feed,shear,0,1,0.3893
dog,feed,feed,0,0,0.1102
sheep,feed,pet,0,0,0.0082
dog,feed,shear,0,1,0.4602
sheep,feed,pet,0,0,0.3606
dog,feed,shear,0,1,0.8562
cat,shear,pet,1,0,0.5541
dog,feed,shear,0,1,0.8158
cat,shear,shear,1,1,0.5291
sheep,feed,pet,0,0,0.2832
sheep,feed,shear,0,1,0.0052
sheep,pet,feed,0,0,0.4909
dog,feed,shear,0,1,0.7894
cat,pet,pet,0,0,0.3423
cat,pet,feed,0,0,0.2931
cat,pet,pet,0,0,0.8564
cat,feed,feed,0,0,0.9432
dog,pet,pet,0,0,0.0307
dog,feed,feed,0,0,0.6026
cat,pet,pet,0,0,0.3269
dog,feed,feed,0,0,0.9927
cat,feed,feed,0,0,0.1106
dog,feed,shear,0,1,0.157
sheep,shear,pet,1,0,0.8637
dog,pet,pet,0,0,0.5516
sheep,shear,shear,1,1,0.4769
sheep,feed,feed,0,0,0.0166
cat,pet,pet,0,0,0.0284
cat,shear,shear,1,1,0.6747
sheep,pet,feed,0,0,0.16
dog,pet,pet,0,0,0.2269
dog,feed,shear,0,1,0.6415
dog,feed,pet,0,0,0.0595
cat,pet,pet,0,0,0.0137
dog,feed,feed,0,0,0.8956
cat,feed,shear,0,1,0.0306
sheep,feed,pet,0,0,0.1297
dog,pet,pet,0,0,0.5308
cat,pet,pet,0,0,0.5128
cat,pet,pet,0,0,0.0154
cat,shear,pet,1,0,0.5331
cat,pet,pet,0,0,0.9931
dog,feed,pet,0,0,0.015
cat,feed,feed,0,0,0.0495
dog,feed,feed,0,0,0.1245
cat,shear,shear,1,1,0.9952
cat,pet,feed,0,0,0.1478
dog,shear,shear,1,1,0.7221
dog,feed,pet,0,0,0.4326
dog,feed,feed,0,0,0.1296
cat,shear,shear,1,1,0.6121
cat,pet,pet,0,0,0.5039
sheep,feed,pet,0,0,0.0185
dog,feed,shear,0,1,0.2588
dog,feed,pet,0,0,0.7654
dog,shear,pet,1,0,0.7112
cat,feed,pet,0,0,0.962
sheep,feed,pet,0,0,0.5068
dog,feed,feed,0,0,0.2439
cat,feed,feed,0,0,0.7985
cat,feed,feed,0,0,0.9527
sheep,shear,shear,1,1,0.8702
dog,pet,pet,0,0,0.5547
dog,feed,shear,0,1,0.3726
dog,feed,pet,0,0,0.0002
cat,feed,feed,0,0,0.0039
sheep,pet,pet,0,0,0.0042
sheep,feed,feed,0,0,0.3886
cat,pet,shear,0,1,0.6254
dog,feed,pet,0,0,0.5104
dog,feed,shear,0,1,0.2522
cat,pet,shear,0,1,0.6032
sheep,shear,feed,1,0,0.9996
sheep,shear,shear,1,1,0.9939
dog,feed,shear,0,1,0.3865
cat,shear,shear,1,1,0.5981
cat,pet,feed,0,0,0.4387
dog,feed,feed,0,0,0.0173
cat,pet,pet,0,0,0.3993
dog,feed,shear,0,1,0.6027
cat,feed,shear,0,1,0.0531
cat,feed,shear,0,1,0.2771
dog,pet,pet,0,0,0.9639
sheep,feed,pet,0,0,0.0536
cat,pet,pet,0,0,0.043
cat,pet,pet,0,0,0.0712
dog,feed,feed,0,0,0.9886
dog,feed,pet,0,0,0.1732
cat,pet,shear,0,1,0.3244
dog,feed,feed,0,0,0.7174
dog,pet,shear,0,1,0.5341
dog,feed,shear,0,1,0.3671
sheep,feed,pet,0,0,0.0328
dog,feed,feed,0,0,0.0985
dog,feed,shear,0,1,0.7018
cat,feed,pet,0,0,0.033
dog,feed,pet,0,0,0.923
cat,feed,shear,0,1,0.1123
sheep,feed,pet,0,0,0.2415
dog,feed,feed,0,0,0.3986
cat,feed,feed,0,0,0.2393
dog,pet,pet,0,0,0.7278
dog,pet,pet,0,0,0.334
cat,feed,feed,0,0,0.0808
dog,feed,shear,0,1,0.5306
cat,feed,feed,0,0,0.3746
dog,pet,pet,0,0,0.9053
dog,feed,shear,0,1,0.182
cat,feed,feed,0,0,0.8497
sheep,feed,pet,0,0,0.3373
dog,feed,shear,0,1,0.0538
cat,pet,pet,0,0,0.6557
dog,feed,feed,0,0,0.379
sheep,shear,shear,1,1,0.9724
dog,pet,feed,0,0,0.468
dog,feed,shear,0,1,0.0616
cat,shear,feed,1,0,0.7316
dog,feed,feed,0,0,0.4778
cat,pet,pet,0,0,0.8011
cat,shear,pet,1,0,0.96
dog,pet,pet,0,0,0.9672
dog,feed,feed,0,0,0.0893
dog,feed,feed,0,0,0.6149
dog,pet,pet,0,0,0.096
cat,feed,shear,0,1,0.383
dog,feed,feed,0,0,0.4791
cat,shear,feed,1,0,0.9342
sheep,feed,feed,0,0,0.0616
dog,feed,pet,0,0,0.6358
dog,shear,shear,1,1,0.9996
dog,feed,pet,0,0,0.0282
cat,shear,shear,1,1,0.8548
dog,feed,pet,0,0,0.6643
cat,pet,pet,0,0,0.2258
cat,feed,feed,0,0,0.1313
cat,shear,pet,1,0,0.5296
cat,feed,feed,0,0,0.2449
cat,pet,feed,0,0,0.0141
cat,pet,pet,0,0,0.1789
dog,shear,feed,1,0,0.4805
sheep,shear,shear,1,1,0.6241
dog,feed,feed,0,0,0.1993
cat,feed,feed,0,0,0.0613
dog,feed,feed,0,0,0.4956
dog,feed,feed,0,0,0.3198
dog,feed,pet,0,0,0.4846
dog,feed,shear,0,1,0.8327
cat,feed,shear,0,1,0.3893
sheep,pet,pet,0,0,0.0307
cat,feed,feed,0,0,0.4518
sheep,feed,pet,0,0,0.014
cat,pet,feed,0,0,0.7725
dog,shear,shear,1,1,0.602
dog,feed,feed,0,0,0.1087
cat,feed,pet,0,0,0.1066
cat,feed,shear,0,1,0.305
cat,feed,feed,0,0,0.3662
dog,feed,pet,0,0,0.4032
cat,pet,pet,0,0,0.5827
dog,feed,pet,0,0,0.0004
sheep,shear,shear,1,1,0.7084
dog,shear,shear,1,1,0.6114
dog,feed,shear,0,1,0.0752
dog,feed,pet,0,0,0.5426
cat,pet,pet,0,0,0.0697
dog,pet,pet,0,0,0.562
cat,feed,shear,0,1,0.0027
dog,pet,pet,0,0,0.3741
cat,feed,feed,0,0,0.8167
sheep,pet,pet,0,0,0.1893
dog,pet,shear,0,1,0.57
sheep,feed,shear,0,1,0.0109
cat,feed,pet,0,0,0.475
dog,feed,shear,0,1,0.0018
cat,feed,pet,0,0,0.0748
sheep,feed,shear,0,1,0.1253
cat,pet,pet,0,0,0.0106
sheep,feed,feed,0,0,0.4693
dog,shear,shear,1,1,0.963
cat,pet,pet,0,0,0.0585
dog,feed,shear,0,1,0.0069
dog,pet,shear,0,1,0.2926
cat,feed,shear,0,1,0.0273
sheep,feed,pet,0,0,0.0956
cat,feed,feed,0,0,0.2406
cat,shear,shear,1,1,0.211
sheep,shear,shear,1,1,0.9135
cat,feed,feed,0,0,0.176
dog,pet,pet,0,0,0.1527
sheep,feed,feed,0,0,0.24
dog,feed,feed,0,0,0.2132
cat,pet,shear,0,1,0.074
cat,pet,pet,0,0,0.0224
cat,shear,shear,1,1,0.7261
cat,feed,feed,0,0,0.9008
cat,pet,pet,0,0,0.8491
sheep,feed,pet,0,0,0.1164
cat,feed,feed,0,0,0.493
cat,pet,feed,0,0,0.8182
dog,feed,feed,0,0,0.8134
dog,pet,pet,0,0,0.3358
dog,pet,pet,0,0,0.0043
dog,feed,shear,0,1,0.7484
dog,feed,pet,0,0,0.8932
dog,feed,feed,0,0,0.9782
dog,feed,feed,0,0,0.4024
cat,pet,feed,0,0,0.6204
sheep,pet,pet,0,0,0.0001
dog,feed,pet,0,0,0.155
dog,pet,pet,0,0,0.0644
dog,pet,pet,0,0,0.1625
cat,pet,pet,0,0,0.132
sheep,shear,shear,1,1,0.4321
dog,pet,pet,0,0,0.0566
dog,shear,pet,1,0,0.8597
sheep,shear,shear,1,1,0.7631
dog,feed,feed,0,0,0.3989
cat,feed,feed,0,0,0.0091
dog,feed,shear,0,1,0.9528
dog,pet,pet,0,0,0.9895
dog,pet,pet,0,0,0.2727
dog,feed,feed,0,0,0.5334
cat,feed,shear,0,1,0.8984
dog,feed,feed,0,0,0.6658
cat,feed,feed,0,0,0.6974
sheep,shear,shear,1,1,0.8833
dog,pet,pet,0,0,0.35
cat,feed,feed,0,0,0.2088
cat,pet,pet,0,0,0.4724
cat,feed,feed,0,0,0.1979
dog,feed,feed,0,0,0.0238
cat,feed,pet,0,0,0.1663
dog,pet,pet,0,0,0.5886
cat,shear,feed,1,0,0.6931
cat,feed,feed,0,0,0.0602
cat,feed,feed,0,0,0.0246
dog,feed,feed,0,0,0.001
sheep,shear,shear,1,1,0.8561
cat,pet,feed,0,0,0.9526
dog,feed,shear,0,1,0.6737
dog,feed,shear,0,1,0.2572
sheep,feed,pet,0,0,0.036
sheep,shear,shear,1,1,0.9246
dog,feed,shear,0,1,0.5515
cat,pet,feed,0,0,0.0113
cat,pet,pet,0,0,0.0078
dog,feed,pet,0,0,0.6317
sheep,feed,pet,0,0,0.0479
dog,pet,shear,0,1,0.1754
cat,pet,shear,0,1,0.5049
dog,feed,shear,0,1,0.8571
sheep,feed,pet,0,0,0.2115
cat,shear,feed,1,0,0.2686
dog,pet,pet,0,0,0.7846
dog,feed,feed,0,0,0.7886
dog,feed,shear,0,1,0.3858
cat,feed,feed,0,0,0.5285
sheep,shear,shear,1,1,0.8811
dog,feed,pet,0,0,0.8971
dog,pet,pet,0,0,0.0073
dog,pet,pet,0,0,0.7283
cat,feed,feed,0,0,0.1112
cat,feed,feed,0,0,0.1413
sheep,feed,feed,0,0,0.7621
dog,feed,feed,0,0,0.635
cat,feed,shear,0,1,0.5037
dog,feed,feed,0,0,0.0021
dog,pet,pet,0,0,0.0176
sheep,shear,shear,1,1,0.994
dog,shear,shear,1,1,0.9931
dog,feed,pet,0,0,0.548
sheep,shear,shear,1,1,0.9797
dog,pet,pet,0,0,0.3216
sheep,shear,shear,1,1,0.9552
sheep,shear,shear,1,1,0.2605
dog,feed,feed,0,0,0.5293
cat,shear,pet,1,0,0.9772
dog,feed,shear,0,1,0.0567
dog,pet,pet,0,0,0.224
cat,feed,pet,0,0,0.0103
cat,feed,feed,0,0,0.5969
dog,feed,feed,0,0,0.1443
dog,pet,feed,0,0,0.9656
dog,feed,pet,0,0,0.9789
cat,feed,feed,0,0,0.1883
cat,feed,feed,0,0,0.1381
dog,pet,feed,0,0,0.7864
