lsat,gpa,race,resident,college,year,gender,admit,black,hispanic,asian,white,missing_race,urm,enroll
155.0,3.55,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
155.0,3.24,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
151.0,3.8,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,0
158.0,3.65,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
151.0,3.76,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
143.0,3.58,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,0
151.0,3.07,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
159.0,3.71,White,0.0,Nevada Las Vegas,2006,1.0,1.0,0,0,0,1,0,0,0
154.0,3.46,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
161.0,3.4,White,0.0,Nevada Las Vegas,2006,0.0,1.0,0,0,0,1,0,0,0
149.0,3.34,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
160.0,3.48,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
162.0,3.06,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
156.0,3.46,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
144.0,2.68,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
164.0,3.35,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
154.0,1.94,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
150.0,3.04,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
158.0,3.54,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,0
158.0,3.31,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
160.0,3.35,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
158.0,3.37,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
151.0,3.26,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
165.0,3.55,White,0.0,Nevada Las Vegas,2006,0.0,1.0,0,0,0,1,0,0,0
156.0,3.23,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
150.0,3.64,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
158.0,3.75,White,0.0,Nevada Las Vegas,2006,1.0,1.0,0,0,0,1,0,0,0
164.0,2.98,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
161.0,2.95,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
145.0,2.66,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
157.0,3.86,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
156.0,3.27,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,1
156.0,3.72,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
155.0,3.26,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
159.0,2.93,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
157.0,2.59,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
161.0,3.09,White,0.0,Nevada Las Vegas,2006,1.0,1.0,0,0,0,1,0,0,0
156.0,3.32,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
154.0,3.65,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
155.0,3.98,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
145.0,3.23,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
151.0,3.32,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
150.0,3.02,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
158.0,3.71,White,0.0,Nevada Las Vegas,2006,1.0,1.0,0,0,0,1,0,0,0
151.0,3.82,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
146.0,3.76,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
154.0,3.7,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
156.0,2.83,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
157.0,3.45,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
144.0,3.49,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
156.0,3.7,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,0
143.0,2.73,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
149.0,3.52,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
150.0,2.12,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
162.0,2.38,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,1
155.0,3.51,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
151.0,2.82,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
140.0,2.62,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
154.0,2.66,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
160.0,2.93,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
155.0,3.16,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
155.0,2.48,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
148.0,3.13,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,1
162.0,3.52,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,0
147.0,3.54,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
162.0,3.61,White,0.0,Nevada Las Vegas,2006,1.0,1.0,0,0,0,1,0,0,0
153.0,3.57,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
143.0,2.69,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
159.0,2.79,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
152.0,3.58,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
150.0,3.4,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
155.0,3.48,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,0
154.0,2.94,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
154.0,2.93,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
159.0,3.48,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
171.0,2.51,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
163.0,3.09,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
154.0,3.21,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,0
158.0,2.77,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
148.0,3.3,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
156.0,3.05,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
159.0,2.62,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
155.0,3.27,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
152.0,3.66,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,0
150.0,2.91,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
154.0,3.67,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,0
149.0,3.57,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
154.0,3.48,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
156.0,3.53,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
149.0,3.31,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
156.0,3.67,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
157.0,3.2,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
150.0,3.26,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
147.0,3.69,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
139.0,3.12,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,1
158.0,3.52,White,0.0,Nevada Las Vegas,2006,0.0,1.0,0,0,0,1,0,0,0
156.0,3.85,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
149.0,3.58,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
149.0,3.04,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
145.0,3.73,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,0
149.0,3.69,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
156.0,3.22,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
143.0,3.32,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
148.0,2.61,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
159.0,3.75,White,0.0,Nevada Las Vegas,2006,0.0,1.0,0,0,0,1,0,0,0
161.0,2.64,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
160.0,3.75,White,0.0,Nevada Las Vegas,2006,1.0,1.0,0,0,0,1,0,0,0
155.0,4.0,White,0.0,Nevada Las Vegas,2006,0.0,1.0,0,0,0,1,0,0,0
154.0,3.74,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
149.0,3.13,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
158.0,3.7,White,0.0,Nevada Las Vegas,2006,1.0,1.0,0,0,0,1,0,0,0
162.0,3.71,White,0.0,Nevada Las Vegas,2006,0.0,1.0,0,0,0,1,0,0,0
150.0,3.65,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
154.0,2.98,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,0
154.0,3.1,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
164.0,2.95,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
154.0,3.75,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
160.0,3.6,White,0.0,Nevada Las Vegas,2006,1.0,1.0,0,0,0,1,0,0,0
151.0,2.63,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,0
154.0,3.23,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
155.0,2.93,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
154.0,2.45,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
151.0,3.51,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
154.0,3.34,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
162.0,2.89,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
151.0,2.75,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
154.0,2.65,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,0
156.0,2.75,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
147.0,3.34,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
168.0,3.67,White,0.0,Nevada Las Vegas,2006,1.0,1.0,0,0,0,1,0,0,0
155.0,3.46,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,0
158.0,3.81,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
158.0,3.18,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
153.0,3.79,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
137.0,3.14,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
146.0,3.62,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,0
139.0,3.18,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
155.0,3.28,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,0
164.0,2.96,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,0
158.0,2.68,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,0
155.0,3.18,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,0
152.0,3.72,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
159.0,3.46,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
170.0,3.67,White,0.0,Nevada Las Vegas,2006,0.0,1.0,0,0,0,1,0,0,0
158.0,2.57,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
164.0,3.39,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
155.0,2.9,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
158.0,3.46,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
159.0,3.57,White,0.0,Nevada Las Vegas,2006,1.0,1.0,0,0,0,1,0,0,0
134.0,2.33,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
155.0,2.82,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,0
155.0,3.62,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
154.0,3.54,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
157.0,2.78,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
148.0,3.23,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
157.0,3.77,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
150.0,2.0,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
156.0,2.38,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,0
151.0,2.93,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
151.0,3.8,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
156.0,3.32,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
150.0,3.08,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
144.0,3.12,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
155.0,3.27,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
148.0,3.62,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
164.0,2.82,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,1
156.0,3.56,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
141.0,2.47,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
156.0,3.72,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,0
148.0,3.64,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
153.0,3.52,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
155.0,2.94,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
150.0,2.64,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
150.0,2.83,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
155.0,3.44,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
148.0,3.19,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
156.0,3.71,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
147.0,2.73,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
139.0,3.29,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
145.0,3.23,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,1
162.0,3.2,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
154.0,3.48,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
145.0,3.58,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
152.0,3.81,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
153.0,3.13,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
157.0,3.1,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
151.0,3.61,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
155.0,3.84,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
150.0,2.47,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
160.0,3.9,White,0.0,Nevada Las Vegas,2006,1.0,1.0,0,0,0,1,0,0,0
148.0,3.22,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
159.0,3.46,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
144.0,2.4,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
153.0,3.15,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
156.0,3.08,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
161.0,3.1,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
138.0,3.49,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
154.0,3.38,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
155.0,3.43,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
152.0,3.67,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
156.0,3.37,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
150.0,2.76,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
154.0,3.56,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
161.0,2.81,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
151.0,3.24,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,0
155.0,3.01,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
157.0,3.17,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,0
147.0,3.37,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
155.0,3.11,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,0
164.0,2.63,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
154.0,3.66,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
156.0,3.22,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
151.0,3.31,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
158.0,3.9,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,0
155.0,3.27,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
155.0,3.74,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
155.0,3.27,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
158.0,4.0,White,0.0,Nevada Las Vegas,2006,0.0,1.0,0,0,0,1,0,0,0
152.0,2.83,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
148.0,2.98,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
143.0,3.17,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,0
154.0,3.17,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,0
156.0,3.06,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
149.0,3.05,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,0
149.0,2.87,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
143.0,2.81,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
158.0,2.57,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
154.0,3.32,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
154.0,3.5,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
164.0,3.14,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
154.0,3.87,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
155.0,3.95,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
156.0,3.13,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
152.0,3.37,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
156.0,2.81,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
151.0,3.3,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
153.0,3.31,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
150.0,2.93,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
155.0,3.66,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
148.0,3.1,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
150.0,3.47,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
171.0,3.13,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
152.0,3.61,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
151.0,3.07,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
158.0,3.99,White,0.0,Nevada Las Vegas,2006,0.0,1.0,0,0,0,1,0,0,0
155.0,3.44,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
